length (m),F_geo,V_trn,I_trn,V_out,I_out,E_pon,E_poff,E_crit,_IR_cips,IR_cips,A_scan,R_gb,R_t2m,R_t3m,D_dcvg,D_olre,F_type,F_id,D_clas,D_len,D_erf,D_dept,SRF_loc,N_ocd,S_srb,T_opr,C_pipe,Y_pipe,S_CR,Decision
"125,464",No Feature,100,100,16.50,8.50,1278,1146,,85,132,5.59,100,23673.08,9013.06,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,465",No Feature,100,100,16.50,8.50,1274,1146,,88,128,3.76,100,23713.272,9024.364,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,466",No Feature,100,100,16.50,8.50,1273,1146,,89,127,3.76,100,23753.464,9035.668,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,467",No Feature,100,100,16.50,8.50,1259,1127,,86,132,3.76,100,23793.656,9046.972,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,468",No Feature,100,100,16.50,8.50,1283,1152,,86,131,3.76,100,23833.848,9058.276,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,469",No Feature,100,100,16.50,8.50,1288,1152,,85,136,3.76,100,23874.04,9069.58,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,470",No Feature,100,100,16.50,8.50,1251,1132,,97,119,5.65,100,23914.232,9080.884,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,471",No Feature,100,100,16.50,8.50,1277,1152,,92,125,5.65,100,23954.424,9092.188,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,472",No Feature,100,100,16.50,8.50,1260,1132,,90,128,5.65,100,23994.616,9103.492,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,473",No Feature,100,100,16.50,8.50,1284,1159,,92,125,5.65,100,24034.808,9114.796,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,474",No Feature,100,100,16.50,8.50,1280,1159,,96,121,5.65,100,24075,9126.1,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,475",TP125+475,100,100,16.50,8.50,1271,1173,,118,98,3.20,100,24115.192,9137.404,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,476",No Feature,100,100,16.50,8.50,1292,1179,,103,113,3.20,100,24155.384,9148.708,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,477",No Feature,100,100,16.50,8.50,1273,1171,,114,102,3.20,100,24195.576,9160.012,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,478",No Feature,100,100,16.50,8.50,1281,1171,,105,110,3.20,100,24235.768,9171.316,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,479",No Feature,100,100,16.50,8.50,1262,1154,,107,108,3.20,100,24275.96,9182.62,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,480",No Feature,100,100,16.50,8.50,1279,1170,,105,109,8.83,100,24316.152,9193.924,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,481",No Feature,100,100,16.50,8.50,1281,1171,,105,110,8.83,100,24356.344,9205.228,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,482",No Feature,100,100,16.50,8.50,1284,1170,,102,114,8.83,100,24396.536,9216.532,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,483",No Feature,100,100,16.50,8.50,1315,1162,,77,153,8.83,100,24436.728,9227.836,AA,-16,,,,,0,0,,0,No,10,C_CW,30,0.13,2
"125,484",D,100,100,16.50,8.50,1254,1161,,127,93,8.83,100,24476.92,9239.14,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,485",No Feature,100,100,16.50,8.50,1256,1162,,125,94,2.94,100,24517.112,9250.444,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,486",No Feature,100,100,16.50,8.50,1257,1159,,119,98,2.94,100,24557.304,9261.748,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,487",No Feature,100,100,16.50,8.50,1276,1169,,110,107,2.94,100,24597.496,9273.052,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,488",No Feature,100,100,16.50,8.50,1275,1176,,118,99,2.94,100,24637.688,9284.356,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,489",No Feature,100,100,16.50,8.50,1286,1178,,108,108,2.94,100,24677.88,9295.66,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,490",No Feature,100,100,16.50,8.50,1290,1177,,103,113,6.24,100,24718.072,9306.964,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,491",No Feature,100,100,16.50,8.50,1276,1156,,98,120,6.24,100,24758.264,9318.268,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,492",No Feature,100,100,16.50,8.50,1283,1159,,94,124,6.24,100,24798.456,9329.572,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
